,city
Seattle,0.34195652173913044
Renton,0.06369565217391304
Bellevue,0.06217391304347826
Redmond,0.051086956521739134
Issaquah,0.04065217391304348
Kirkland,0.04065217391304348
Kent,0.04021739130434782
Auburn,0.03826086956521739
Sammamish,0.03804347826086957
Federal Way,0.03217391304347826
Shoreline,0.02673913043478261
Woodinville,0.025
Maple Valley,0.020869565217391306
Mercer Island,0.018695652173913044
Burien,0.01608695652173913
Snoqualmie,0.015434782608695652
Kenmore,0.014347826086956521
Des Moines,0.012608695652173913
North Bend,0.010869565217391304
Covington,0.009347826086956522
Duvall,0.009130434782608696
Lake Forest Park,0.00782608695652174
Bothell,0.007173913043478261
Newcastle,0.007173913043478261
SeaTac,0.006304347826086957
Vashon,0.006304347826086957
Tukwila,0.006304347826086957
Enumclaw,0.00608695652173913
Carnation,0.004782608695652174
Normandy Park,0.00391304347826087
Clyde Hill,0.002391304347826087
Medina,0.002391304347826087
Fall City,0.002391304347826087
Black Diamond,0.001956521739130435
Ravensdale,0.0015217391304347826
Pacific,0.0013043478260869566
Algona,0.0010869565217391304
Yarrow Point,0.0008695652173913044
Skykomish,0.0006521739130434783
Milton,0.0004347826086956522
Preston,0.0004347826086956522
Inglewood-Finn Hill,0.0002173913043478261
Snoqualmie Pass,0.0002173913043478261
Beaux Arts Village,0.0002173913043478261
